Time,dew_point,wind_chill,wet_bulb ,air_temp,bridge_deck,relative_humidity,wind_speed
9:32:00,-5.1,-5.94,-4.74,-4.57,0.32,96.13,0.96
9:31:00,-5.09,-6.23,-4.74,-4.57,0.3,96.13,1.06
9:30:00,-5.16,-6.32,-4.81,-4.64,0.25,96.16,1.08
9:29:00,-5.16,-6.42,-4.81,-4.63,0.2,96.08,1.12
9:28:00,-5.24,-6.56,-4.88,-4.71,0.14,96.03,1.17
9:27:00,-5.23,-6.58,-4.88,-4.71,0.08,96.09,1.17
9:26:00,-5.32,-6.62,-4.96,-4.78,0.03,96.06,1.18
9:24:00,-5.31,-6.7,-4.96,-4.78,-0.02,96.09,1.23
9:23:00,-5.41,-6.65,-5.04,-4.86,-0.06,95.98,1.21
9:22:00,-5.4,-6.46,-5.04,-4.86,-0.09,96.04,1.13
9:21:00,-5.4,-6.45,-5.04,-4.87,-0.1,96.03,1.1
9:20:00,-5.33,-6.45,-4.96,-4.79,-0.14,95.98,1.13
9:18:00,-5.33,-6.2,-4.96,-4.79,-0.18,96,1.01
9:17:00,-5.33,-6.19,-4.96,-4.79,-0.2,95.98,1
9:16:00,-5.29,-6.17,-4.92,-4.74,-0.24,95.99,0.98
